KolcsonzoId;Író;Műfaj;Cím
1;J.K. Rowling;Fantasy;Harry Potter és a Bölcsek Köve
2;Agatha Christie;Krimi;Hálószoba Kilencvenötben
3;George Orwell;Dystópia;1984
4;Harper Lee;Regény;Ne bántsátok a feketerigót!
5;Gabriel García Márquez;Realizmus;Száz év magány
6;J.R.R. Tolkien;Fantasy;A Gyűrűk Ura
7;Jane Austen;Romantikus;Büszkeség és balítélet
8;Fyodor Dostoyevsky;Dráma;Bűn és bűnhődés
9;Leo Tolstoy;Eposz;Háború és béke
10;Mark Twain;Kaland;Huckleberry Finn kalandjai
1;Stephen King;Horror;Az
2;Gillian Flynn;Thriller;Én, a lány
3;Ernest Hemingway;Klasszikus;Az öreg és a tenger
4;Virginia Woolf;Modernizmus;Hullámok
5;Terry Pratchett;Fantasy;A Kolorádói óra
6;Emily Brontë;Romantikus;Üvöltő szelek
7;Ray Bradbury;Sci-fi;451 Fahrenheit
8;Philip K. Dick;Sci-fi;A Mátrix
9;Arthur Conan Doyle;Detektív;Sherlock Holmes kalandjai
10;Herman Melville;Klasszikus;Moby Dick
1;Suzanne Collins;Sci-fi;Az éhezők viadala
2;Margaret Atwood;Dystópia;A szolgálólány meséje
3;H.G. Wells;Sci-fi;A háború a világokban
4;Roald Dahl;Gyermek;Matilda
5;Douglas Adams;Sci-fi;Galaxis útikalauz stopposoknak
6;J.D. Salinger;Regény;Zabhegyező
7;Ken Kesey;Modernizmus;A sikoly
8;Kazuo Ishiguro;Fikció;Az eltemetett óriás
9;Aldous Huxley;Sci-fi;Szép új világ
10;Michael Crichton;Sci-fi;Jurassic Park
